project_name,duration_planned_months,cost_million_pkr,planned_progress_pct,actual_progress_pct,delay_months
11kV Feeder - Chak 214,6,95.0,100,100,0.5
Grid Station Upgrade - Samundri Rd,14,610.0,100,88,3.0
LT Network - Ghulam Muhammadabad,7,120.5,100,96,0.0
33kV Feeder - Tandlianwala,10,340.0,100,74,4.5
Transformer Replacement Scheme - Jaranwala,5,68.0,100,100,0.0
Street Light Project - Millat Town,4,42.5,100,100,0.0
11kV Feeder - Sammundri Cotton Zone,8,150.0,100,55,6.0
LT/HT Rehab - Rasoolabad,9,205.0,100,80,2.5
Distribution Upgrade - Batala Colony,6,88.0,100,90,1.0
New Feeder - Industrial Estate Phase 2,12,480.0,100,62,7.5
Rural Electrification - Chak 88,8,135.0,100,70,3.5
Metering Project - Madina Town,5,60.0,100,100,0.0
33kV Feeder Extension - Sargodha Rd,11,410.0,100,68,5.5
LT Network - Rehman Colony (Phase 1),7,110.0,100,92,1.0
